Test Loss: 8.4905
Test Perplexity: 4868.28

Epoch-wise Results:
Epoch | Train Loss | Train Perp | Val Loss | Val Perp
    1 | 10.3301 | 30640.27 | 10.3241 | 30456.94
    2 | 10.1029 | 24413.51 | 10.1906 | 26651.47
    3 | 9.8937 | 19804.99 | 10.0616 | 23425.55
    4 | 9.6808 | 16007.04 | 9.9418 | 20780.84
    5 | 9.5153 | 13565.20 | 9.8303 | 18588.71
    6 | 9.3517 | 11518.64 | 9.7353 | 16903.60
    7 | 9.2034 | 9930.81 | 9.6406 | 15377.19
    8 | 9.0621 | 8622.15 | 9.5520 | 14072.34
    9 | 8.9541 | 7739.31 | 9.4637 | 12883.53
   10 | 8.8270 | 6816.02 | 9.3697 | 11727.44
   11 | 8.6976 | 5988.42 | 9.2779 | 10698.76
   12 | 8.5775 | 5310.56 | 9.1872 | 9771.23
   13 | 8.4640 | 4740.85 | 9.1000 | 8955.73
   14 | 8.3391 | 4184.19 | 9.0150 | 8225.71
   15 | 8.2250 | 3733.21 | 8.9269 | 7531.84
   16 | 8.0858 | 3248.12 | 8.8419 | 6918.19
   17 | 7.9690 | 2889.88 | 8.7550 | 6342.56
   18 | 7.8530 | 2573.49 | 8.6648 | 5795.47
   19 | 7.7391 | 2296.33 | 8.5780 | 5313.43
   20 | 7.6163 | 2031.02 | 8.4905 | 4868.28
